YBL102W	YFL041W
YNL308C	YOR244W
YNL246W	YPL209C
YDR304C	YER050C
YGR260W	YML075C
YIL019W	YPL217C
YBR010W	YML102W
YKL074C	YLR423C
YLL039C	YLR173W
YBL032W	YML106W
YLR438C-A	YNL147W
YDR225W	YNL030W
YBR042C	YPL031C
YKL173W	YPR178W
YLR175W	YLR340W
YHR133C	YMR215W
YBL016W	YBL085W
YER049W	YPL141C
YIR010W	YNL088W
YDR025W	YER102W
YLR340W	YNL132W
YKL045W	YNL262W
YDL229W	YNL107W
YCR088W	YLR429W
YFR031C	YOR027W
YBL105C	YMR149W
YDR418W	YNL178W
YJL189W	YMR139W
YFR017C	YGL059W
YKL060C	YNR051C
YGR233C	YOL145C
YHR129C	YPL070W
YKL172W	YOR191W
YAL005C	YDR381W
YNL030W	YOR290C
YOL113W	YPL169C
YCR028C-A	YML072C
YIR010W	YOR127W
YER082C	YMR290C
YBR060C	YPR120C
YCL011C	YGL173C
YLR385C	YOR174W
YMR001C	YPR007C
YBR088C	YDR510W
YGR218W	YJR061W
YIL094C	YOR136W
YHR216W	YNL189W
YGR167W	YKL104C
YBR172C	YER172C
YKL173W	YLL039C
YDR485C	YLR385C
YBR154C	YJL011C
YHR027C	YMR191W
YGL158W	YMR229C
YDR013W	YPR135W
YMR024W	YNL252C
YDL136W	YGL030W
YML098W	YPL248C
YDL014W	YOR340C
YAL035W	YLR340W
YJL069C	YOR145C
YHR186C	YJL095W
YHR027C	YOR271C
YCR033W	YDR432W
YAL059W	YDR395W
YIL027C	YMR272C
YGR280C	YMR269W
YDR412W	YHL033C
YML063W	YNL096C
YBL032W	YDR266C
YGR214W	YML085C
YLR394W	YMR224C
YKL181W	YOL061W
YBL074C	YDR283C
YDR381W	YNL238W
YDR412W	YPL093W
YGR103W	YHR197W
YDL145C	YPL219W
YBR173C	YGL011C
YNL244C	YPL144W
TD(GUC)I2	YLL018C
YBR261C	YGR088W
YDR510W	YJR109C
YDR162C	YKL049C
YOR027W	YPL240C
YDL123W	YEL013W
YBL026W	YDR381W
YMR227C	YOL051W
YDR245W	YLL039C
YLR096W	YNR039C
YFR014C	YLR030W
YDR225W	YOR116C
YGR252W	YHR079C
YDR347W	YGR084C
YDR510W	YLR442C
YBL087C	YFR001W
YGL180W	YPR185W
YDR447C	YGR118W
YGL216W	YPL158C
YHL029C	YNL099C
YFR014C	YMR165C
YDR412W	YNR053C
YMR140W	YNL154C
YBR025C	YOR117W
YFR004W	YLR448W
YDR496C	YNL255C
YJR159W	YPL031C
YDL055C	YJR109C
